ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 09:00:00+00:00,34,2,21,120.28,120.28,119.55,119.73,72021,AAPL
2021-03-12 10:00:00+00:00,34,2,21,119.78,119.99,119.55,119.83,14747,AAPL
2021-03-12 11:00:00+00:00,34,2,21,119.87,120.18,119.6,119.88,28347,AAPL
2021-03-12 12:00:00+00:00,34,2,21,119.98,120.61,119.98,120.51,60816,AAPL
2021-03-12 13:00:00+00:00,34,2,21,120.51,120.67,120.01,120.15,125087,AAPL
2021-03-12 14:00:00+00:00,34,2,21,120.15,120.59,119.16,119.94,4239616,AAPL
2021-03-12 15:00:00+00:00,34,2,21,119.94,120.29,119.275,119.6,2489929,AAPL
2021-03-12 16:00:00+00:00,34,2,21,119.59,120.2,119.43,120.11,1528226,AAPL
2021-03-12 17:00:00+00:00,34,2,21,120.12,121.07,120.0,120.69,1421707,AAPL
2021-03-12 18:00:00+00:00,34,2,21,120.68,121.01,120.43,120.65,926824,AAPL
2021-03-12 19:00:00+00:00,34,2,21,120.65,120.895,120.5,120.76,811269,AAPL
2021-03-12 20:00:00+00:00,34,2,21,120.77,121.16,120.47,121.05,2536786,AAPL
2021-03-12 21:00:00+00:00,34,2,21,121.03,121.05,120.92,121.0,3883802,AAPL
2021-03-12 22:00:00+00:00,34,2,21,121.03,121.1,120.99,121.1,5501,AAPL
2021-03-12 23:00:00+00:00,34,2,21,121.09,121.09,120.97,121.09,3364,AAPL
2021-03-15 08:00:00+00:00,34,2,21,120.98,121.62,120.55,121.49,20013,AAPL
2021-03-15 09:00:00+00:00,34,2,21,121.53,121.97,121.49,121.77,23414,AAPL
2021-03-15 10:00:00+00:00,34,2,21,121.8,121.8,121.24,121.57,11729,AAPL
2021-03-15 11:00:00+00:00,34,2,21,121.51,121.88,121.4,121.43,52618,AAPL
2021-03-15 12:00:00+00:00,34,2,21,121.42,121.45,121.09,121.32,53168,AAPL
2021-03-15 13:00:00+00:00,34,2,21,121.31,123.64,120.42,123.26,3173600,AAPL
2021-03-15 14:00:00+00:00,34,2,21,123.255,123.47,122.24,123.12,2340265,AAPL
2021-03-15 15:00:00+00:00,34,2,21,123.12,123.23,122.05,122.35,1367379,AAPL
2021-03-15 16:00:00+00:00,34,2,21,122.34,122.61,122.21,122.52,906118,AAPL
2021-03-15 17:00:00+00:00,34,2,21,122.53,123.16,122.45,123.1,934410,AAPL
2021-03-15 18:00:00+00:00,34,2,21,123.1,123.63,123.1,123.37,1388899,AAPL
2021-03-15 19:00:00+00:00,34,2,21,123.37,124.0,123.06,124.0,2996205,AAPL
2021-03-15 20:00:00+00:00,34,2,21,123.99,124.2,123.7,124.16,7953716,AAPL
2021-03-15 21:00:00+00:00,34,2,21,124.18,124.55,124.18,124.47,32823,AAPL
2021-03-15 22:00:00+00:00,34,2,21,124.49,124.49,124.12,124.23,7922,AAPL
2021-03-15 23:00:00+00:00,34,2,21,124.23,124.24,124.1,124.1,6353,AAPL
2021-03-16 08:00:00+00:00,34,2,21,124.54,124.99,124.4,124.67,30602,AAPL
2021-03-16 09:00:00+00:00,34,2,21,124.74,125.17,124.73,125.05,28151,AAPL
2021-03-16 10:00:00+00:00,34,2,21,125.05,125.26,124.83,125.19,25923,AAPL
2021-03-16 11:00:00+00:00,34,2,21,125.18,125.25,124.82,125.21,44319,AAPL
2021-03-16 12:00:00+00:00,34,2,21,125.2,125.73,125.0,125.52,128206,AAPL
2021-03-16 13:00:00+00:00,34,2,21,125.52,126.65,125.09,126.5,3695725,AAPL
2021-03-16 14:00:00+00:00,34,2,21,126.51,127.22,126.06,126.94,2562344,AAPL
2021-03-16 15:00:00+00:00,34,2,21,126.93,127.055,126.16,126.225,1631488,AAPL
2021-03-16 16:00:00+00:00,34,2,21,126.23,126.32,125.34,125.85,2049578,AAPL
2021-03-16 17:00:00+00:00,34,2,21,125.86,126.27,125.34,125.63,1222921,AAPL
2021-03-16 18:00:00+00:00,34,2,21,125.63,125.83,124.72,125.33,1831067,AAPL
2021-03-16 19:00:00+00:00,34,2,21,125.33,125.92,125.24,125.57,2391004,AAPL
2021-03-16 20:00:00+00:00,34,2,21,125.56,125.69,125.5,125.5,3963121,AAPL
2021-03-16 21:00:00+00:00,34,2,21,125.5,125.55,125.32,125.54,5611,AAPL
2021-03-16 22:00:00+00:00,34,2,21,125.57,125.62,125.51,125.52,2701,AAPL
2021-03-16 23:00:00+00:00,34,2,21,125.51,125.58,125.11,125.24,11510,AAPL
2021-03-17 08:00:00+00:00,34,2,21,125.23,125.35,124.81,125.11,16983,AAPL
2021-03-17 09:00:00+00:00,34,2,21,125.06,125.15,124.59,124.72,15804,AAPL
2021-03-17 10:00:00+00:00,34,2,21,124.72,124.95,124.55,124.64,17492,AAPL
2021-03-17 11:00:00+00:00,34,2,21,124.7,124.83,123.52,123.79,76926,AAPL
2021-03-17 12:00:00+00:00,34,2,21,123.82,124.14,123.61,124.14,88274,AAPL
2021-03-17 13:00:00+00:00,34,2,21,124.15,124.21,122.82,123.28,3161669,AAPL
2021-03-17 14:00:00+00:00,34,2,21,123.275,123.625,122.8,123.03,2095261,AAPL
2021-03-17 15:00:00+00:00,34,2,21,123.05,123.055,122.475,122.66,2052256,AAPL
2021-03-17 16:00:00+00:00,34,2,21,122.66,122.9,122.39,122.48,1272392,AAPL
2021-03-17 17:00:00+00:00,34,2,21,122.47,122.92,122.34,122.83,1010480,AAPL
2021-03-17 18:00:00+00:00,34,2,21,122.83,125.39,122.83,125.365,3945133,AAPL
2021-03-17 19:00:00+00:00,34,2,21,125.37,125.85,124.29,124.8,3978493,AAPL
2021-03-17 20:00:00+00:00,34,2,21,124.78,124.78,124.49,124.49,6453090,AAPL
2021-03-17 21:00:00+00:00,34,2,21,124.49,124.75,124.49,124.73,7275,AAPL
2021-03-17 22:00:00+00:00,34,2,21,124.73,124.86,124.67,124.72,30530,AAPL
2021-03-17 23:00:00+00:00,34,2,21,124.72,124.95,124.69,124.95,12344,AAPL
2021-03-18 08:00:00+00:00,34,2,21,124.03,124.17,123.1,123.19,35906,AAPL
2021-03-18 09:00:00+00:00,34,2,21,123.2,123.7,123.01,123.36,14746,AAPL
2021-03-18 10:00:00+00:00,34,2,21,123.35,123.87,123.35,123.61,14247,AAPL
2021-03-18 11:00:00+00:00,34,2,21,123.69,123.89,122.7,123.0,83224,AAPL
2021-03-18 12:00:00+00:00,34,2,21,122.99,123.12,122.72,122.95,95858,AAPL
2021-03-18 13:00:00+00:00,34,2,21,122.92,123.17,121.78,122.36,3814979,AAPL
2021-03-18 14:00:00+00:00,34,2,21,122.35,122.635,121.59,122.52,2918577,AAPL
2021-03-18 15:00:00+00:00,34,2,21,122.51,122.72,121.78,121.93,1915944,AAPL
2021-03-18 16:00:00+00:00,34,2,21,121.93,122.585,121.72,121.76,1713105,AAPL
2021-03-18 17:00:00+00:00,34,2,21,121.74,122.215,121.7,121.965,1843631,AAPL
2021-03-18 18:00:00+00:00,34,2,21,121.97,122.02,121.02,121.175,2392397,AAPL
2021-03-18 19:00:00+00:00,34,2,21,121.175,121.36,120.33,120.55,5612478,AAPL
2021-03-18 20:00:00+00:00,34,2,21,120.55,120.81,120.43,120.63,9035011,AAPL
2021-03-18 21:00:00+00:00,34,2,21,120.62,120.8,120.51,120.75,9845,AAPL
2021-03-18 22:00:00+00:00,34,2,21,120.75,120.86,120.61,120.62,7973,AAPL
2021-03-18 23:00:00+00:00,34,2,21,120.65,120.65,120.52,120.55,9968,AAPL
2021-03-19 08:00:00+00:00,34,2,21,121.25,121.7,121.09,121.62,25756,AAPL
2021-03-19 09:00:00+00:00,34,2,21,121.62,121.66,121.49,121.51,10776,AAPL
2021-03-19 10:00:00+00:00,34,2,21,121.52,121.6,121.11,121.28,17883,AAPL
2021-03-19 11:00:00+00:00,34,2,21,121.3,121.43,121.0,121.32,36030,AAPL
2021-03-19 12:00:00+00:00,34,2,21,121.33,121.42,121.01,121.14,70838,AAPL
2021-03-19 13:00:00+00:00,34,2,21,121.14,121.43,119.73,120.68,14057645,AAPL
2021-03-19 14:00:00+00:00,34,2,21,120.68,120.72,119.68,120.505,3013371,AAPL
2021-03-19 15:00:00+00:00,34,2,21,120.51,120.615,119.86,120.46,1796840,AAPL
2021-03-19 16:00:00+00:00,34,2,21,120.465,121.16,120.41,120.92,1593370,AAPL
2021-03-19 17:00:00+00:00,34,2,21,120.93,120.945,120.275,120.31,1378969,AAPL
2021-03-19 18:00:00+00:00,34,2,21,120.32,120.48,119.9,120.12,1953165,AAPL
2021-03-19 19:00:00+00:00,34,2,21,120.11,120.97,119.85,119.85,5494600,AAPL
2021-03-19 20:00:00+00:00,34,2,21,119.87,120.22,119.86,120.0,44706656,AAPL
2021-03-19 21:00:00+00:00,34,2,21,120.01,120.04,119.99,120.02,37350,AAPL
2021-03-19 22:00:00+00:00,34,2,21,120.02,120.02,119.96,119.99,8696,AAPL
2021-03-19 23:00:00+00:00,34,2,21,119.99,120.02,119.95,120.02,10655,AAPL
2021-03-22 08:00:00+00:00,34,2,21,120.65,120.99,120.21,120.81,26133,AAPL
2021-03-22 09:00:00+00:00,34,2,21,120.81,120.95,120.71,120.86,14835,AAPL
2021-03-22 10:00:00+00:00,34,2,21,120.86,121.2,120.75,121.03,14400,AAPL
2021-03-22 11:00:00+00:00,34,2,21,121.0,121.0,120.71,120.88,29119,AAPL
2021-03-22 12:00:00+00:00,34,2,21,120.88,120.89,120.68,120.83,44136,AAPL
2021-03-22 13:00:00+00:00,34,2,21,120.81,121.78,120.13,121.42,3668169,AAPL
2021-03-22 14:00:00+00:00,34,2,21,121.43,122.69,121.43,122.58,2847140,AAPL
2021-03-22 15:00:00+00:00,34,2,21,122.58,122.84,122.19,122.32,1572597,AAPL
2021-03-22 16:00:00+00:00,34,2,21,122.32,123.76,122.32,123.43,2209724,AAPL
2021-03-22 17:00:00+00:00,34,2,21,123.43,123.7,123.04,123.685,1670457,AAPL
2021-03-22 18:00:00+00:00,34,2,21,123.69,123.84,123.405,123.795,1372517,AAPL
2021-03-22 19:00:00+00:00,34,2,21,123.79,123.87,123.02,123.4,3579316,AAPL
2021-03-22 20:00:00+00:00,34,2,21,123.39,123.5,123.09,123.11,9666439,AAPL
2021-03-22 21:00:00+00:00,34,2,21,123.11,123.2,123.04,123.09,7824,AAPL
2021-03-22 22:00:00+00:00,34,2,21,123.17,123.31,123.1,123.13,2953,AAPL
2021-03-22 23:00:00+00:00,34,2,21,123.14,123.22,123.01,123.1,6700,AAPL
2021-03-23 08:00:00+00:00,34,2,21,123.0,123.0,122.31,122.69,21785,AAPL
