date,spot_price,forecast_iv,market_iv,iv_spread,iv_percentile,signal,blocked,entry_notes,atm_strike,atm_dte,straddle_price,position_status,days_held,iv_change_pct,portfolio_value,trade_pnl_dollars,traded
2020-07-02,112.18,0.19401119681867898,0.37553202027288185,0.18152082345420287,,SELL,False,,112.0,43.0,11.575,NONE,0,,100000.0,0.0,True
2020-07-06,114.43,0.19401119681867898,0.37384204851562974,,,HOLD,False,,,,,HOLDING,4,-0.16899717572521067,100000.0,0.0,False
2020-07-07,113.63,0.19401119681867898,0.3875307924102354,,,HOLD,False,,,,,HOLDING,5,1.1998772137353564,100000.0,0.0,False
2020-07-08,116.66,0.19401119681867898,0.4003831486169464,,,HOLD,False,,,,,HOLDING,6,2.4851128344064555,100000.0,0.0,False
2020-07-09,116.81,0.19401119681867898,0.40617588700515567,,,HOLD,False,,,,,HOLDING,7,3.0643866732273817,100000.0,0.0,False
2020-07-10,119.34,0.19401119681867898,0.402779957227787,,,HOLD,False,,,,,HOLDING,8,2.7247936954905128,100000.0,0.0,False
2020-07-13,116.22,0.19401119681867898,0.40565623496854775,,,HOLD,False,,,,,HOLDING,11,3.01242146956659,100000.0,0.0,False
2020-07-14,118.66,0.19401119681867898,0.4197699206306513,,,HOLD,False,,,,,EXITED,12,4.423790035776948,99632.56547483178,-367.4345251682276,True
2020-07-15,120.9,0.19401119681867898,0.37281577025664386,0.17880457343796488,,SELL,False,,121.0,44.0,12.7,NONE,0,,99632.56547483178,0.0,True
2020-07-16,119.43,0.19401119681867898,0.37227702821550973,,,HOLD,False,,,,,HOLDING,1,-0.05387420411341326,99632.56547483178,0.0,False
2020-07-17,118.65,0.19401119681867898,0.3506044314785888,,,HOLD,False,,,,,HOLDING,2,-2.221133877805509,99632.56547483178,0.0,False
2020-07-20,117.79,0.19401119681867898,0.345315346627007,,,HOLD,False,,,,,HOLDING,5,-2.7500423629636837,99632.56547483178,0.0,False
2020-07-21,118.62,0.19401119681867898,0.34869294291968916,,,HOLD,False,,,,,HOLDING,6,-2.41228273369547,99632.56547483178,0.0,False
2020-07-22,119.03,0.19401119681867898,0.33462538192484,,,HOLD,False,,,,,EXITED,7,-3.819038833180388,100867.50094945829,1234.9354746265208,True
2020-07-23,118.12,0.17235090682142662,0.32233638675927906,0.14998547993785244,,SELL,False,,118.0,43.0,10.850000000000001,NONE,0,,100867.50094945829,0.0,True
2020-07-24,117.61,0.17235090682142662,0.3287338660932041,,,HOLD,False,,,,,HOLDING,1,0.6397479333925038,100867.50094945829,0.0,False
2020-07-27,116.31,0.17235090682142662,0.33205871462395714,,,HOLD,False,,,,,HOLDING,4,0.9722327864678082,100867.50094945829,0.0,False
2020-07-28,116.18,0.17235090682142662,0.33075317180860286,,,HOLD,False,,,,,HOLDING,5,0.8416785049323805,100867.50094945829,0.0,False
2020-07-29,115.61,0.17235090682142662,0.31670394551126824,,,HOLD,False,,,,,HOLDING,6,-0.5632441248010822,100867.50094945829,0.0,False
2020-07-30,115.66,0.17235090682142662,0.33016479527659015,,,HOLD,False,,,,,HOLDING,7,0.7828408517311092,100867.50094945829,0.0,False
2020-07-31,116.94,0.17235090682142662,0.3260619224521673,,,HOLD,False,,,,,HOLDING,8,0.3725535692888249,100867.50094945829,0.0,False
2020-08-03,116.35,0.17235090682142662,0.34484438921386135,,,HOLD,False,,,,,EXITED,11,2.2508002454582288,101446.72171042404,579.2207609657535,True
2020-08-04,117.29,0.17235090682142662,0.3318590481344455,0.15950814131301888,,HOLD,False,0d before earnings (2020-08-04),115.0,45.0,11.3,NONE,0,,101446.72171042404,0.0,False
2020-08-05,127.61,0.17235090682142662,0.28014405589673685,0.10779314907531024,,HOLD,False,1d after earnings (2020-08-04),130.0,44.0,10.05,NONE,0,,101446.72171042404,0.0,False
2020-08-06,130.82001,0.17235090682142662,0.30075200406654473,0.1284010972451181,,HOLD,False,2d after earnings (2020-08-04),130.0,43.0,10.8,NONE,0,,101446.72171042404,0.0,False
2020-08-07,129.92999,0.17235090682142662,0.28980944445379964,0.11745853763237302,,SELL,False,,130.0,42.0,10.3,NONE,0,,101446.72171042404,0.0,True
2020-08-10,128.78999,0.17235090682142662,0.27585393886204645,,,HOLD,False,,,,,HOLDING,3,-1.3955505591753181,101446.72171042404,0.0,False
2020-08-11,130.49001,0.17235090682142662,0.2795967884813498,,,HOLD,False,,,,,HOLDING,4,-1.0212655972449858,101446.72171042404,0.0,False
2020-08-12,131.78999,0.17235090682142662,0.280287435537818,,,HOLD,False,,,,,HOLDING,5,-0.952200891598165,101446.72171042404,0.0,False
2020-08-13,130.96001,0.18484505499838894,0.27320434191297777,,,HOLD,False,,,,,HOLDING,6,-1.660510254082187,101446.72171042404,0.0,False
2020-08-14,130.53,0.18484505499838894,0.27033905299115873,,,HOLD,False,,,,,HOLDING,7,-1.9470391462640901,101446.72171042404,0.0,False
2020-08-17,129.37,0.18484505499838894,0.270765040339658,,,HOLD,False,,,,,HOLDING,10,-1.9044404114141655,101446.72171042404,0.0,False
2020-08-18,128.92,0.18484505499838894,0.261909369963256,,,HOLD,False,,,,,HOLDING,11,-2.790007449054366,101446.72171042404,0.0,False
2020-08-19,127.77,0.18484505499838894,0.2594240140772494,,,HOLD,False,,,,,EXITED,12,-3.038543037655023,102856.58686542715,1409.8651550031118,True
2020-08-20,128.12,0.18484505499838894,0.26781993962087386,0.08297488462248492,,SELL,False,,128.0,43.0,9.700000000000001,NONE,0,,102856.58686542715,0.0,True
2020-08-21,127.44,0.18484505499838894,0.27100831804368397,,,HOLD,False,,,,,HOLDING,1,0.3188378422810112,102856.58686542715,0.0,False
2020-08-24,130.69,0.18484505499838894,0.26014863597225424,,,HOLD,False,,,,,HOLDING,4,-0.7671303648619621,102856.58686542715,0.0,False
2020-08-25,129.78999,0.18484505499838894,0.263739588388423,,,HOLD,False,,,,,HOLDING,5,-0.4080351232450874,102856.58686542715,0.0,False
2020-08-26,132.17999,0.18484505499838894,0.2910457666754938,,,HOLD,False,,,,,HOLDING,6,2.322582705461995,102856.58686542715,0.0,False
2020-08-27,133.73,0.18484505499838894,0.2965677801576138,,,HOLD,False,,,,,HOLDING,7,2.8747840536739955,102856.58686542715,0.0,False
2020-08-28,135.53999,0.18484505499838894,0.3187559982457345,,,HOLD,False,,,,,EXITED,8,5.093605862486061,101840.65133290763,-1015.935532519521,True
2020-08-31,131.87,0.18484505499838894,0.3217503871673024,0.13690533216891349,,SELL,False,,132.0,39.0,11.125,NONE,0,,101840.65133290763,0.0,True
2020-09-01,133.55,0.18484505499838894,0.3289100615588649,,,HOLD,False,,,,,HOLDING,1,0.7159674391562454,101840.65133290763,0.0,False
2020-09-02,135.39,0.18484505499838894,0.3622484177647715,,,HOLD,False,,,,,EXITED,2,4.0498030597469095,101102.76448416803,-737.8868487396023,True
2020-09-03,133.24001,0.23309154761017034,0.3650614972997001,0.13196994968952977,,SELL,False,,135.0,43.0,13.6,NONE,0,,101102.76448416803,0.0,True
2020-09-04,131.99001,0.23309154761017034,0.35086954856068764,,,HOLD,False,,,,,HOLDING,1,-1.4191948739012472,101102.76448416803,0.0,False
2020-09-08,134.2,0.23309154761017034,0.3757640806141695,,,HOLD,False,,,,,HOLDING,5,1.0702583314469383,101102.76448416803,0.0,False
2020-09-09,133.36,0.23309154761017034,0.3073676155370168,,,HOLD,False,,,,,EXITED,6,-5.769388176268331,102379.14625142734,1276.381767259312,True
2020-09-10,133.22,0.23309154761017034,0.3108305087689946,0.07773896115882425,,SELL,False,,133.0,43.0,11.425,NONE,0,,102379.14625142734,0.0,True
2020-09-11,131.75,0.23309154761017034,0.29512801940228883,,,HOLD,False,,,,,HOLDING,1,-1.5702489366705763,102379.14625142734,0.0,False
2020-09-14,131.25,0.23309154761017034,0.2850404144908679,,,HOLD,False,,,,,HOLDING,4,-2.579009427812667,102379.14625142734,0.0,False
2020-09-15,131.24001,0.23309154761017034,0.27422098918048826,,,HOLD,False,,,,,EXITED,5,-3.6609519588506334,103619.46019626617,1240.3139448388208,True
2020-09-16,132.09,0.23309154761017034,0.30110878540507724,0.0680172377949069,,SELL,False,,132.0,44.0,10.975000000000001,NONE,0,,103619.46019626617,0.0,True
2020-09-17,130.22,0.23309154761017034,0.27931558222637776,,,HOLD,False,,,,,HOLDING,1,-2.1793203178699483,103619.46019626617,0.0,False
2020-09-18,128.63,0.23309154761017034,0.28750383367149696,,,HOLD,False,,,,,HOLDING,2,-1.3604951733580284,103619.46019626617,0.0,False
2020-09-21,125.41,0.23309154761017034,0.28313422609739103,,,HOLD,False,,,,,HOLDING,5,-1.797455930768621,103619.46019626617,0.0,False
2020-09-22,127.21,0.23309154761017034,0.2975037079339051,,,HOLD,False,,,,,HOLDING,6,-0.36050774711721134,103619.46019626617,0.0,False
2020-09-23,123.28,0.23309154761017034,0.2965968176630442,,,HOLD,False,,,,,HOLDING,7,-0.4511967742033052,103619.46019626617,0.0,False
2020-09-24,122.49,0.18756558215456717,0.30741996836101787,,,HOLD,False,,,,,HOLDING,8,0.6311182955940631,103619.46019626617,0.0,False
2020-09-25,124.0,0.18756558215456717,0.2818330190878862,,,HOLD,False,,,,,HOLDING,9,-1.9275766317191023,103619.46019626617,0.0,False
2020-09-28,125.99,0.18756558215456717,0.291667421005207,,,HOLD,False,,,,,HOLDING,12,-0.9441364399870256,103619.46019626617,0.0,False
2020-09-29,125.4,0.18756558215456717,0.2771813756025068,,,HOLD,False,,,,,HOLDING,13,-2.3927409802570465,103619.46019626617,0.0,False
2020-09-30,124.08,0.18756558215456717,0.29522441049560244,,,HOLD,False,,,,,HOLDING,14,-0.5884374909474799,103619.46019626617,0.0,False
2020-10-01,123.31,0.18756558215456717,0.2759715986212199,,,HOLD,False,,,,,HOLDING,15,-2.5137186783857346,103619.46019626617,0.0,False
2020-10-02,122.55,0.18756558215456717,0.285053523120734,,,HOLD,False,,,,,HOLDING,16,-1.605526228434323,103619.46019626617,0.0,False
2020-10-05,123.37,0.18756558215456717,0.2886238780298846,,,HOLD,False,,,,,HOLDING,19,-1.2484907375192644,103619.46019626617,0.0,False
2020-10-06,120.93,0.18756558215456717,0.29209648084185286,,,HOLD,False,,,,,HOLDING,20,-0.9012304563224383,103619.46019626617,0.0,False
2020-10-07,122.91,0.18756558215456717,0.27546657513522027,,,HOLD,False,,,,,HOLDING,21,-2.564221026985697,103619.46019626617,0.0,False
2020-10-08,123.09,0.18756558215456717,0.26893662745753555,,,HOLD,False,,,,,EXITED,22,-3.217215794754169,104420.42082566056,800.9606293943916,True
2020-10-09,124.98,0.18756558215456717,0.32550025925108433,0.13793467709651716,,SELL,False,,125.0,42.0,11.325,NONE,0,,104420.42082566056,0.0,True
2020-10-12,124.97,0.18756558215456717,0.33716964170452224,,,HOLD,False,,,,,HOLDING,3,1.1669382453437904,104420.42082566056,0.0,False
2020-10-13,128.96001,0.18756558215456717,0.3428644573813776,,,HOLD,False,,,,,HOLDING,4,1.7364198130293274,104420.42082566056,0.0,False
2020-10-14,126.59,0.18756558215456717,0.3512243826259109,,,HOLD,False,,,,,HOLDING,5,2.5724123374826546,104420.42082566056,0.0,False
2020-10-15,127.36,0.17389990859181406,0.34496977849355687,,,HOLD,False,,,,,HOLDING,6,1.9469519242472533,104420.42082566056,0.0,False
2020-10-16,126.81,0.17389990859181406,0.3455721542098059,,,HOLD,False,,,,,HOLDING,7,2.007189495872158,104420.42082566056,0.0,False
2020-10-19,124.23,0.17389990859181406,0.35984637563926747,,,HOLD,False,,,,,HOLDING,10,3.434611638818313,104420.42082566056,0.0,False
2020-10-20,124.95,0.17389990859181406,0.36861270181153155,,,HOLD,False,,,,,EXITED,11,4.311244256044722,104248.99233463146,-171.42849102909804,True
