date,spot_price,forecast_iv,market_iv,iv_spread,iv_percentile,signal,blocked,entry_notes,atm_strike,atm_dte,straddle_price,position_status,days_held,iv_change_pct,portfolio_value,trade_pnl_dollars,traded
2020-07-02,6.82,0.3509570250338201,0.5450916974391079,0.1941346724052878,,SELL,False,,7.0,43.0,1.07,NONE,0,,100000.0,0.0,True
2020-07-06,7.0,0.3509570250338201,0.5814123410679678,,,HOLD,False,,,,,HOLDING,4,3.6320643628859894,100000.0,0.0,False
2020-07-07,6.76,0.3509570250338201,0.6009244647607015,,,HOLD,False,,,,,EXITED,5,5.583276732159359,99561.73420735572,-438.26579264428057,True
2020-07-08,6.86,0.3509570250338201,0.5801030400891416,0.2291460150553215,,SELL,False,,7.0,44.0,1.13,NONE,0,,99561.73420735572,0.0,True
2020-07-09,6.58,0.3509570250338201,0.6099887170922639,,,HOLD,False,,,,,HOLDING,1,2.988567700312228,99561.73420735572,0.0,False
2020-07-10,6.69,0.3509570250338201,0.6176383482515437,,,HOLD,False,,,,,HOLDING,2,3.7535308162402137,99561.73420735572,0.0,False
2020-07-13,6.7,0.3509570250338201,0.624578094029778,,,HOLD,False,,,,,EXITED,5,4.447505394063644,99224.25666050482,-337.47754685089853,True
2020-07-14,6.88,0.3509570250338201,0.5938723739055313,0.24291534887171118,,SELL,False,,7.0,45.0,1.15,NONE,0,,99224.25666050482,0.0,True
2020-07-15,7.14,0.3509570250338201,0.6138094546339848,,,HOLD,False,,,,,HOLDING,1,1.9937080728453571,99224.25666050482,0.0,False
2020-07-16,7.05,0.3509570250338201,0.6070715910881488,,,HOLD,False,,,,,HOLDING,2,1.3199217182617518,99224.25666050482,0.0,False
2020-07-17,7.07,0.3509570250338201,0.5863907165150429,,,HOLD,False,,,,,HOLDING,3,-0.7481657390488339,99224.25666050482,0.0,False
2020-07-20,6.87,0.3509570250338201,0.5777890485954275,,,HOLD,False,,,,,HOLDING,6,-1.6083325310103813,99224.25666050482,0.0,False
2020-07-21,7.04,0.3509570250338201,0.5582227109883793,,,HOLD,False,,,,,EXITED,7,-3.564966291715199,99667.40640513241,443.1497446275922,True
2020-07-22,7.06,0.3509570250338201,0.5587265499160547,0.20776952488223466,,HOLD,False,7d before earnings (2020-07-29),7.0,37.0,1.02,NONE,0,,99667.40640513241,0.0,False
2020-07-23,7.04,0.29318690885283494,0.6078377504183303,0.3146508415654954,,HOLD,False,6d before earnings (2020-07-29),7.0,43.0,1.145,NONE,0,,99667.40640513241,0.0,False
2020-07-24,6.86,0.29318690885283494,0.5618453374356277,0.26865842858279276,,HOLD,False,5d before earnings (2020-07-29),7.0,42.0,1.0499999999999998,NONE,0,,99667.40640513241,0.0,False
2020-07-27,6.71,0.29318690885283494,0.5656811856653826,0.2724942768125477,,HOLD,False,2d before earnings (2020-07-29),6.5,39.0,0.985,NONE,0,,99667.40640513241,0.0,False
2020-07-28,6.89,0.29318690885283494,0.5739446828609779,0.28075777400814295,,HOLD,False,1d before earnings (2020-07-29),7.0,38.0,1.0399999999999998,NONE,0,,99667.40640513241,0.0,False
2020-07-29,6.59,0.29318690885283494,0.5148418629698062,0.22165495411697123,,HOLD,False,0d before earnings (2020-07-29),6.5,37.0,0.85,NONE,0,,99667.40640513241,0.0,False
2020-07-30,6.26,0.29318690885283494,0.5386486610015034,0.2454617521486685,,HOLD,False,1d after earnings (2020-07-29),6.5,43.0,0.94,NONE,0,,99667.40640513241,0.0,False
2020-07-31,6.07,0.29318690885283494,0.5123611112093958,0.21917420235656082,,HOLD,False,2d after earnings (2020-07-29),6.0,42.0,0.8499999999999999,NONE,0,,99667.40640513241,0.0,False
2020-08-03,6.11,0.29318690885283494,0.5096822478283316,0.21649533897549667,,SELL,False,,6.0,39.0,0.7949999999999999,NONE,0,,99667.40640513241,0.0,True
2020-08-04,6.14,0.29318690885283494,0.48128919329405834,,,HOLD,False,,,,,HOLDING,1,-2.8393054534273263,99667.40640513241,0.0,False
2020-08-05,6.4,0.29318690885283494,0.4703939808796301,,,HOLD,False,,,,,EXITED,2,-3.9288266948701525,99499.05945310676,-168.34695202565194,True
2020-08-06,6.33,0.29318690885283494,0.520485447152503,0.22729853829966806,,SELL,False,,6.0,43.0,0.9199999999999999,NONE,0,,99499.05945310676,0.0,True
2020-08-07,6.4,0.29318690885283494,0.4727968075135293,,,HOLD,False,,,,,EXITED,1,-4.768863963897369,99773.96678434781,274.90733124104617,True
2020-08-10,6.67,0.29318690885283494,0.46582827667732857,0.17264136782449363,,SELL,False,,7.0,39.0,0.885,NONE,0,,99773.96678434781,0.0,True
2020-08-11,6.73,0.29318690885283494,0.4545773176383176,,,HOLD,False,,,,,HOLDING,1,-1.1250959039010966,99773.96678434781,0.0,False
2020-08-12,6.72,0.29318690885283494,0.4421928541619022,,,HOLD,False,,,,,HOLDING,2,-2.3635422515426385,99773.96678434781,0.0,False
2020-08-13,6.6,0.24949013634210107,0.4573763661755957,,,HOLD,False,,,,,HOLDING,3,-0.8451910501732884,99773.96678434781,0.0,False
2020-08-14,6.66,0.24949013634210107,0.4468524405244046,,,HOLD,False,,,,,HOLDING,4,-1.8975836152923975,99773.96678434781,0.0,False
2020-08-17,6.47,0.24949013634210107,0.4785021641881684,,,HOLD,False,,,,,HOLDING,7,1.267388751083981,99773.96678434781,0.0,False
2020-08-18,6.44,0.24949013634210107,0.4537069659495426,,,HOLD,False,,,,,HOLDING,8,-1.2121310727785994,99773.96678434781,0.0,False
2020-08-19,6.38,0.24949013634210107,0.42174404563865714,,,HOLD,False,,,,,EXITED,9,-4.408423103867143,100637.95924486415,863.9924605163429,True
2020-08-20,6.27,0.24949013634210107,0.4512945461787439,0.20180440983664286,,SELL,False,,6.5,43.0,0.815,NONE,0,,100637.95924486415,0.0,True
2020-08-21,6.31,0.24949013634210107,0.4236515350247166,,,HOLD,False,,,,,HOLDING,1,-2.764301115402734,100637.95924486415,0.0,False
2020-08-24,6.63,0.24949013634210107,0.43924486302094495,,,HOLD,False,,,,,HOLDING,4,-1.2049683157798974,100637.95924486415,0.0,False
2020-08-25,6.59,0.24949013634210107,0.4361621640259807,,,HOLD,False,,,,,HOLDING,5,-1.5132382152763246,100637.95924486415,0.0,False
2020-08-26,6.48,0.24949013634210107,0.4367958642450988,,,HOLD,False,,,,,HOLDING,6,-1.449868193364512,100637.95924486415,0.0,False
2020-08-27,6.48,0.24949013634210107,0.46770594532197146,,,HOLD,False,,,,,HOLDING,7,1.6411399143227534,100637.95924486415,0.0,False
2020-08-28,6.61,0.24949013634210107,0.45974771896039174,,,HOLD,False,,,,,HOLDING,8,0.8453172781647811,100637.95924486415,0.0,False
2020-08-31,6.34,0.24949013634210107,0.475532137873434,,,HOLD,False,,,,,HOLDING,11,2.4237591694690086,100637.95924486415,0.0,False
2020-09-01,6.19,0.24949013634210107,0.48914593018179925,,,HOLD,False,,,,,HOLDING,12,3.785138400305532,100637.95924486415,0.0,False
2020-09-02,6.44,0.24949013634210107,0.5001588420423129,,,HOLD,False,,,,,EXITED,13,4.886429586356894,99492.87974303549,-1145.0795018286608,True
2020-09-03,6.32,0.2901583041811494,0.5781966567083074,0.28803835252715804,,SELL,False,,6.0,43.0,1.0050000000000001,NONE,0,,99492.87974303549,0.0,True
2020-09-04,6.42,0.2901583041811494,0.5450833036307746,,,HOLD,False,,,,,EXITED,1,-3.3113353077532826,99565.55982575107,72.68008271557638,True
2020-09-08,6.14,0.2901583041811494,0.5719655889702204,0.281807284789071,,SELL,False,,6.0,45.0,0.9749999999999999,NONE,0,,99565.55982575107,0.0,True
2020-09-09,6.16,0.2901583041811494,0.5349210981575977,,,HOLD,False,,,,,EXITED,1,-3.7044490812622732,99850.24772472915,284.68789897807767,True
2020-09-10,6.0,0.2901583041811494,0.5242009026292354,0.23404259844808595,,SELL,False,,6.0,43.0,0.85,NONE,0,,99850.24772472915,0.0,True
2020-09-11,5.95,0.2901583041811494,0.49398184657724165,,,HOLD,False,,,,,EXITED,1,-3.021905605199371,99875.0691269506,24.821402221457358,True
2020-09-14,6.15,0.2901583041811494,0.486331202713804,0.19617289853265457,,SELL,False,,6.0,39.0,0.7999999999999998,NONE,0,,99875.0691269506,0.0,True
2020-09-15,6.1,0.2901583041811494,0.47857980389020954,,,HOLD,False,,,,,HOLDING,1,-0.7751398823594435,99875.0691269506,0.0,False
2020-09-16,6.75,0.2901583041811494,0.5366482199516392,,,HOLD,False,,,,,EXITED,2,5.031701723783527,97666.13431038562,-2208.934816564988,True
2020-09-17,7.05,0.2901583041811494,0.507552320915204,0.21739401673405456,15.0,HOLD,False,IV percentile 15 < 80,7.0,43.0,1.0150000000000001,NONE,0,,97666.13431038562,0.0,False
2020-09-18,6.88,0.2901583041811494,0.5240617513892576,0.23390344720810818,38.095238095238095,HOLD,False,IV percentile 38 < 80,7.0,42.0,1.005,NONE,0,,97666.13431038562,0.0,False
2020-09-21,6.35,0.2901583041811494,0.5816833478344718,0.29152504365332244,86.36363636363636,SELL,False,,6.5,39.0,0.9849999999999999,NONE,0,,97666.13431038562,0.0,True
2020-09-22,6.25,0.2901583041811494,0.5544181827865806,,,HOLD,False,,,,,HOLDING,1,-2.7265165047891227,97666.13431038562,0.0,False
2020-09-23,6.11,0.2901583041811494,0.5817794140769619,,,HOLD,False,,,,,HOLDING,2,0.009606624249003382,97666.13431038562,0.0,False
2020-09-24,6.06,0.2834472849658872,0.5899761776770593,,,HOLD,False,,,,,HOLDING,3,0.8292829842587501,97666.13431038562,0.0,False
2020-09-25,6.11,0.2834472849658872,0.5642315979557946,,,HOLD,False,,,,,HOLDING,4,-1.7451749878677258,97666.13431038562,0.0,False
2020-09-28,6.2,0.2834472849658872,0.5608803744340993,,,HOLD,False,,,,,HOLDING,7,-2.0802973400372515,97666.13431038562,0.0,False
2020-09-29,6.12,0.2834472849658872,0.5652733222060602,,,HOLD,False,,,,,HOLDING,8,-1.641002562841165,97666.13431038562,0.0,False
2020-09-30,6.23,0.2834472849658872,0.5395522311121721,,,HOLD,False,,,,,EXITED,9,-4.213111672229974,98622.72814566633,956.5938352807134,True
2020-10-01,6.24,0.2834472849658872,0.5229725494184438,0.23952526445255662,34.78260869565217,HOLD,False,IV percentile 35 < 80,6.0,43.0,0.9349999999999999,NONE,0,,98622.72814566633,0.0,False
2020-10-02,6.39,0.2834472849658872,0.5421637618526745,0.25871647688678723,50.0,HOLD,False,IV percentile 50 < 80,6.5,42.0,0.98,NONE,0,,98622.72814566633,0.0,False
2020-10-05,6.41,0.2834472849658872,0.556813928925186,0.27336664395929877,56.00000000000001,HOLD,False,IV percentile 56 < 80,6.5,39.0,0.94,NONE,0,,98622.72814566633,0.0,False
2020-10-06,6.17,0.2834472849658872,0.6049447945629833,0.3214975095970961,92.3076923076923,SELL,False,,6.0,45.0,1.035,NONE,0,,98622.72814566633,0.0,True
2020-10-07,6.31,0.2834472849658872,0.5729265744756392,,,HOLD,False,,,,,EXITED,1,-3.201822008734412,98760.44584580619,137.7177001398476,True
2020-10-08,6.65,0.2834472849658872,0.5204940289406608,0.23704674397477354,29.629629629629626,HOLD,False,IV percentile 30 < 80,7.0,43.0,1.02,NONE,0,,98760.44584580619,0.0,False
2020-10-09,6.84,0.2834472849658872,0.5406608572701321,0.2572135723042449,46.42857142857143,HOLD,False,IV percentile 46 < 80,7.0,42.0,1.035,NONE,0,,98760.44584580619,0.0,False
2020-10-12,6.83,0.2834472849658872,0.5337803111539727,0.2503330261880855,41.37931034482759,HOLD,False,IV percentile 41 < 80,7.0,39.0,0.98,NONE,0,,98760.44584580619,0.0,False
2020-10-13,6.72,0.2834472849658872,0.5464396588176212,0.262992373851734,56.666666666666664,HOLD,False,IV percentile 57 < 80,6.5,45.0,1.0150000000000001,NONE,0,,98760.44584580619,0.0,False
2020-10-14,6.82,0.2834472849658872,0.5334716224484266,0.2500243374825394,38.70967741935484,HOLD,False,IV percentile 39 < 80,7.0,44.0,1.02,NONE,0,,98760.44584580619,0.0,False
2020-10-15,6.87,0.312330178523865,0.5285005408680498,0.21617036234418474,37.5,HOLD,False,IV percentile 38 < 80,7.0,43.0,1.0150000000000001,NONE,0,,98760.44584580619,0.0,False
2020-10-16,7.29,0.312330178523865,0.5485376015173087,0.23620742299344366,60.60606060606061,HOLD,False,IV percentile 61 < 80,7.5,42.0,1.095,NONE,0,,98760.44584580619,0.0,False
2020-10-19,7.29,0.312330178523865,0.5537315458599088,0.24140136733604378,61.76470588235294,HOLD,False,IV percentile 62 < 80,7.5,39.0,1.09,NONE,0,,98760.44584580619,0.0,False
