date,spot_price,forecast_iv,market_iv,iv_spread,iv_percentile,signal,blocked,entry_notes,atm_strike,atm_dte,straddle_price,position_status,days_held,iv_change_pct,portfolio_value,trade_pnl_dollars,traded
2020-07-02,34.51,0.27694967676036947,0.2883380675540811,0.011388390793711622,,HOLD,False,Market IV not expensive (diff 1.1% < 3%),34.5,43.0,2.85,NONE,0,,100000.0,0.0,False
2020-07-06,34.51,0.27694967676036947,0.28262012804882924,0.005670451288459777,,HOLD,False,Market IV not expensive (diff 0.6% < 3%),34.5,39.0,2.665,NONE,0,,100000.0,0.0,False
2020-07-07,34.03,0.27694967676036947,0.27145385886354617,-0.005495817896823296,,HOLD,False,Market IV not expensive (diff -0.5% < 3%),34.0,45.0,2.825,NONE,0,,100000.0,0.0,False
2020-07-08,33.75,0.27694967676036947,0.28820247285543926,0.011252796095069795,,HOLD,False,Market IV not expensive (diff 1.1% < 3%),34.0,44.0,2.9050000000000002,NONE,0,,100000.0,0.0,False
2020-07-09,33.46,0.27694967676036947,0.2887320245254097,0.011782347765040224,,HOLD,False,Market IV not expensive (diff 1.2% < 3%),33.0,43.0,2.8400000000000003,NONE,0,,100000.0,0.0,False
2020-07-10,33.83,0.27694967676036947,0.281682379853648,0.004732703093278556,,HOLD,False,Market IV not expensive (diff 0.5% < 3%),34.0,42.0,2.8549999999999995,NONE,0,,100000.0,0.0,False
2020-07-13,35.21,0.27694967676036947,0.31132945807880863,0.03437978131843916,,SELL,False,,35.0,39.0,3.0949999999999998,NONE,0,,100000.0,0.0,True
2020-07-14,35.23,0.27694967676036947,0.2927164284425323,,,HOLD,False,,,,,HOLDING,1,-1.8613029636276313,100000.0,0.0,False
2020-07-15,35.72,0.27694967676036947,0.2917028001907213,,,HOLD,False,,,,,HOLDING,2,-1.9626657888087318,100000.0,0.0,False
2020-07-16,35.6,0.27694967676036947,0.28167973001981567,,,HOLD,False,,,,,HOLDING,3,-2.964972805899296,100000.0,0.0,False
2020-07-17,36.25,0.27694967676036947,0.269300294294779,,,HOLD,False,,,,,EXITED,4,-4.202916378402966,101110.62735996924,1110.6273599692383,True
2020-07-20,36.5,0.27694967676036947,0.2783116191656933,0.001361942405323835,,HOLD,False,Market IV not expensive (diff 0.1% < 3%),36.5,39.0,2.81,NONE,0,,101110.62735996924,0.0,False
2020-07-21,36.69,0.27694967676036947,0.2696933225457786,-0.0072563542145908655,,HOLD,False,Market IV not expensive (diff -0.7% < 3%); 7d before earnings (2020-07-28),36.5,38.0,2.785,NONE,0,,101110.62735996924,0.0,False
2020-07-22,38.56,0.27694967676036947,0.309495616417213,0.03254593965684355,,HOLD,False,6d before earnings (2020-07-28),38.5,37.0,3.245,NONE,0,,101110.62735996924,0.0,False
2020-07-23,38.41,0.3145260460803524,0.3021159045309734,-0.012410141549378972,,HOLD,False,Market IV not expensive (diff -1.2% < 3%); 5d before earnings (2020-07-28),38.5,43.0,3.335,NONE,0,,101110.62735996924,0.0,False
2020-07-24,37.66,0.3145260460803524,0.29573248746762504,-0.018793558612727357,,HOLD,False,Market IV not expensive (diff -1.9% < 3%); 4d before earnings (2020-07-28),37.5,42.0,3.27,NONE,0,,101110.62735996924,0.0,False
2020-07-27,37.54,0.3145260460803524,0.31201516467960627,-0.0025108814007461233,,HOLD,False,Market IV not expensive (diff -0.3% < 3%); 1d before earnings (2020-07-28),37.5,39.0,3.175,NONE,0,,101110.62735996924,0.0,False
2020-07-28,39.02,0.3145260460803524,0.273124595987028,-0.04140145009332441,,HOLD,False,Market IV not expensive (diff -4.1% < 3%); 0d before earnings (2020-07-28),39.0,38.0,2.95,NONE,0,,101110.62735996924,0.0,False
2020-07-29,39.26,0.3145260460803524,0.2811280058896962,-0.033398040190656175,,HOLD,False,Market IV not expensive (diff -3.3% < 3%); 1d after earnings (2020-07-28),39.5,37.0,3.085,NONE,0,,101110.62735996924,0.0,False
2020-07-30,38.74,0.3145260460803524,0.3009001378904298,-0.013625908189922598,,HOLD,False,Market IV not expensive (diff -1.4% < 3%); 2d after earnings (2020-07-28),38.5,43.0,2.985,NONE,0,,101110.62735996924,0.0,False
2020-07-31,38.48,0.3145260460803524,0.29314283209559855,-0.021383213984753846,,HOLD,False,Market IV not expensive (diff -2.1% < 3%),38.5,42.0,2.96,NONE,0,,101110.62735996924,0.0,False
2020-08-03,38.35,0.3145260460803524,0.27967981512810175,-0.034846230952250645,,HOLD,False,Market IV not expensive (diff -3.5% < 3%),38.5,39.0,2.705,NONE,0,,101110.62735996924,0.0,False
2020-08-04,38.39,0.3145260460803524,0.2702425906941947,-0.04428345538615769,,HOLD,False,Market IV not expensive (diff -4.4% < 3%),38.0,45.0,2.7800000000000002,NONE,0,,101110.62735996924,0.0,False
2020-08-05,38.45,0.3145260460803524,0.2754909065328498,-0.039035139547502595,20.0,HOLD,False,Market IV not expensive (diff -3.9% < 3%); IV percentile 20 < 80,38.0,44.0,2.76,NONE,0,,101110.62735996924,0.0,False
2020-08-06,38.27,0.3145260460803524,0.26602813020112165,-0.048497915879230746,0.0,HOLD,False,Market IV not expensive (diff -4.8% < 3%); IV percentile 0 < 80,38.0,43.0,2.6500000000000004,NONE,0,,101110.62735996924,0.0,False
2020-08-07,38.45,0.3145260460803524,0.2610249960445879,-0.0535010500357645,0.0,HOLD,False,Market IV not expensive (diff -5.4% < 3%); IV percentile 0 < 80,38.0,42.0,2.54,NONE,0,,101110.62735996924,0.0,False
2020-08-10,38.39,0.3145260460803524,0.26126446407746784,-0.053261582002884555,4.3478260869565215,HOLD,False,Market IV not expensive (diff -5.3% < 3%); IV percentile 4 < 80,38.0,39.0,2.445,NONE,0,,101110.62735996924,0.0,False
2020-08-11,37.79,0.3145260460803524,0.2554058134950357,-0.05912023258531668,0.0,HOLD,False,Market IV not expensive (diff -5.9% < 3%); IV percentile 0 < 80,38.0,45.0,2.62,NONE,0,,101110.62735996924,0.0,False
2020-08-12,38.33,0.3145260460803524,0.25027489909458595,-0.06425114698576645,0.0,HOLD,False,Market IV not expensive (diff -6.4% < 3%); IV percentile 0 < 80,38.5,44.0,2.505,NONE,0,,101110.62735996924,0.0,False
2020-08-13,38.17,0.20856280875196737,0.2454227521493963,0.03685994339742893,0.0,HOLD,False,IV percentile 0 < 80,38.0,43.0,2.5,NONE,0,,101110.62735996924,0.0,False
2020-08-14,38.06,0.20856280875196737,0.23889011476334024,0.030327306011372873,0.0,HOLD,False,IV percentile 0 < 80,38.0,42.0,2.36,NONE,0,,101110.62735996924,0.0,False
2020-08-17,38.35,0.20856280875196737,0.2585673371456472,0.05000452839367986,14.285714285714285,HOLD,False,IV percentile 14 < 80,38.5,39.0,2.41,NONE,0,,101110.62735996924,0.0,False
2020-08-18,38.36,0.20856280875196737,0.24694557745282636,0.038382768700858994,6.896551724137931,HOLD,False,IV percentile 7 < 80,38.5,45.0,2.5,NONE,0,,101110.62735996924,0.0,False
2020-08-19,38.26,0.20856280875196737,0.24041942141410158,0.031856612662134215,3.3333333333333335,HOLD,False,IV percentile 3 < 80,38.5,44.0,2.465,NONE,0,,101110.62735996924,0.0,False
2020-08-20,38.72,0.20856280875196737,0.2525652596194785,0.044002450867511145,16.129032258064516,HOLD,False,IV percentile 16 < 80,38.5,43.0,2.51,NONE,0,,101110.62735996924,0.0,False
2020-08-21,38.88,0.20856280875196737,0.2814303732389699,0.07286756448700255,59.375,HOLD,False,IV percentile 59 < 80,39.0,42.0,2.7,NONE,0,,101110.62735996924,0.0,False
2020-08-24,38.84,0.20856280875196737,0.2632568714250665,0.05469406267309912,30.303030303030305,HOLD,False,IV percentile 30 < 80,39.0,39.0,2.495,NONE,0,,101110.62735996924,0.0,False
2020-08-25,38.41,0.20856280875196737,0.25385471895029127,0.045291910198323904,17.647058823529413,HOLD,False,IV percentile 18 < 80,38.5,38.0,2.415,NONE,0,,101110.62735996924,0.0,False
2020-08-26,38.05,0.20856280875196737,0.25521553132969416,0.04665272257772679,20.0,HOLD,False,IV percentile 20 < 80,38.0,37.0,2.3200000000000003,NONE,0,,101110.62735996924,0.0,False
2020-08-27,37.86,0.20856280875196737,0.2747101731904033,0.06614736443843594,50.0,HOLD,False,IV percentile 50 < 80,38.0,43.0,2.6950000000000003,NONE,0,,101110.62735996924,0.0,False
2020-08-28,37.91,0.20856280875196737,0.28774055472088994,0.07917774596892257,70.27027027027027,HOLD,False,IV percentile 70 < 80,38.0,42.0,2.7800000000000002,NONE,0,,101110.62735996924,0.0,False
2020-08-31,37.79,0.20856280875196737,0.29723153008364067,0.0886687213316733,84.21052631578947,SELL,False,,38.0,39.0,2.71,NONE,0,,101110.62735996924,0.0,True
2020-09-01,36.88,0.20856280875196737,0.2911731350312094,,,HOLD,False,,,,,HOLDING,1,-0.6058395052431276,101110.62735996924,0.0,False
2020-09-02,37.2,0.20856280875196737,0.29846900313003155,,,HOLD,False,,,,,HOLDING,2,0.12374730463908801,101110.62735996924,0.0,False
2020-09-03,36.4,0.18593583409582576,0.3454011601903657,,,HOLD,False,,,,,EXITED,3,4.816963010672504,99293.02357490572,-1817.6037850635148,True
2020-09-04,36.36,0.18593583409582576,0.3523133588615118,0.16637752476568607,97.43589743589743,SELL,False,,36.0,42.0,3.33,NONE,0,,99293.02357490572,0.0,True
2020-09-08,35.93,0.18593583409582576,0.34706636570080646,,,HOLD,False,,,,,HOLDING,4,-0.5246993160705371,99293.02357490572,0.0,False
2020-09-09,36.18,0.18593583409582576,0.32274852276763205,,,HOLD,False,,,,,HOLDING,5,-2.956483609387978,99293.02357490572,0.0,False
2020-09-10,35.65,0.18593583409582576,0.3021308958696121,,,HOLD,False,,,,,EXITED,6,-5.018246299189971,100796.49472108566,1503.4711461799488,True
2020-09-11,36.07,0.18593583409582576,0.3134028521908788,0.12746701809505306,95.0,SELL,False,,36.0,42.0,2.945,NONE,0,,100796.49472108566,0.0,True
2020-09-14,37.01,0.18593583409582576,0.33395898418778863,,,HOLD,False,,,,,HOLDING,3,2.055613199690981,100796.49472108566,0.0,False
2020-09-15,36.96,0.18593583409582576,0.3118145143020524,,,HOLD,False,,,,,HOLDING,4,-0.15883378888263966,100796.49472108566,0.0,False
2020-09-16,36.78,0.18593583409582576,0.3269896484240625,,,HOLD,False,,,,,HOLDING,5,1.3586796233183651,100796.49472108566,0.0,False
2020-09-17,36.82,0.18593583409582576,0.3146516409351107,,,HOLD,False,,,,,HOLDING,6,0.1248788744231899,100796.49472108566,0.0,False
2020-09-18,36.63,0.18593583409582576,0.3056155494911342,,,HOLD,False,,,,,HOLDING,7,-0.7787302699744647,100796.49472108566,0.0,False
2020-09-21,36.02,0.18593583409582576,0.31138425325896,,,HOLD,False,,,,,HOLDING,10,-0.20185989319188025,100796.49472108566,0.0,False
2020-09-22,36.25,0.18593583409582576,0.2985793312117432,,,HOLD,False,,,,,HOLDING,11,-1.482352097913564,100796.49472108566,0.0,False
2020-09-23,36.0,0.18593583409582576,0.30769450010605814,,,HOLD,False,,,,,HOLDING,12,-0.5708352084820678,100796.49472108566,0.0,False
2020-09-24,35.76,0.20004935306286942,0.3113516854347836,,,HOLD,False,,,,,HOLDING,13,-0.2051166756095235,100796.49472108566,0.0,False
2020-09-25,36.05,0.20004935306286942,0.307290052138971,,,HOLD,False,,,,,HOLDING,14,-0.6112800051907841,100796.49472108566,0.0,False
2020-09-28,36.39,0.20004935306286942,0.30239213994306297,,,HOLD,False,,,,,HOLDING,17,-1.1010712247815857,100796.49472108566,0.0,False
2020-09-29,36.17,0.20004935306286942,0.29939665913854396,,,HOLD,False,,,,,HOLDING,18,-1.4006193052334859,100796.49472108566,0.0,False
