date,spot_price,forecast_iv,market_iv,iv_spread,iv_percentile,signal,blocked,entry_notes,atm_strike,atm_dte,straddle_price,position_status,days_held,iv_change_pct,portfolio_value,trade_pnl_dollars,traded
2020-07-02,119.21,0.15455310009685774,0.17248418059242202,0.017931080495564272,,HOLD,False,Market IV not expensive (diff 1.8% < 3%),119.0,43.0,5.67,NONE,0,,100000.0,0.0,False
2020-07-06,118.89,0.15455310009685774,0.20636304484967052,0.05180994475281278,,SELL,False,,119.0,39.0,6.695,NONE,0,,100000.0,0.0,True
2020-07-07,126.95,0.15455310009685774,0.24366497761774497,,,HOLD,False,,,,,HOLDING,1,3.730193276807445,100000.0,0.0,False
2020-07-08,124.44,0.15455310009685774,0.28084386925567484,,,HOLD,False,,,,,EXITED,2,7.448082440600431,95224.51943218178,-4775.480567818217,True
2020-07-09,127.75,0.15455310009685774,0.2902332807555327,0.13568018065867493,,SELL,False,,130.0,43.0,10.875,NONE,0,,95224.51943218178,0.0,True
2020-07-10,130.67999,0.15455310009685774,0.2931906825476595,,,HOLD,False,,,,,HOLDING,1,0.2957401792126835,95224.51943218178,0.0,False
2020-07-13,129.52,0.15455310009685774,0.31091070987905994,,,HOLD,False,,,,,HOLDING,4,2.0677429123527267,95224.51943218178,0.0,False
2020-07-14,132.00999,0.15455310009685774,0.31054505189781595,,,HOLD,False,,,,,HOLDING,5,2.0311771142283277,95224.51943218178,0.0,False
2020-07-15,132.0,0.15455310009685774,0.29356073490312723,,,HOLD,False,,,,,HOLDING,6,0.3327454147594555,95224.51943218178,0.0,False
2020-07-16,132.2,0.15455310009685774,0.3104123924003695,,,HOLD,False,,,,,HOLDING,7,2.0179111644836825,95224.51943218178,0.0,False
2020-07-17,131.74001,0.15455310009685774,0.297602100897184,,,HOLD,False,,,,,HOLDING,8,0.73688201416513,95224.51943218178,0.0,False
2020-07-20,131.47,0.15455310009685774,0.296733109255279,,,HOLD,False,,,,,HOLDING,11,0.6499828499746341,95224.51943218178,0.0,False
2020-07-21,132.33,0.15455310009685774,0.2740213476893789,,,HOLD,False,,,,,HOLDING,12,-1.621193306615376,95224.51943218178,0.0,False
2020-07-22,132.66,0.15455310009685774,0.27360629619252125,,,HOLD,False,,,,,HOLDING,13,-1.6626984563011427,95224.51943218178,0.0,False
2020-07-23,131.64,0.18315105761911626,0.26179717735498576,,,HOLD,False,,,,,HOLDING,14,-2.843610340054692,95224.51943218178,0.0,False
2020-07-24,131.24001,0.18315105761911626,0.25313017935213167,,,HOLD,False,,,,,EXITED,15,-3.7103101403401006,96844.75969409029,1620.2402619085085,True
2020-07-27,131.21001,0.18315105761911626,0.24817891805340164,0.06502786043428538,,SELL,False,,131.0,39.0,9.05,NONE,0,,96844.75969409029,0.0,True
2020-07-28,131.75999,0.18315105761911626,0.24105467663016275,,,HOLD,False,,,,,HOLDING,1,-0.7124241423238892,96844.75969409029,0.0,False
2020-07-29,130.69,0.18315105761911626,0.24380073734168,,,HOLD,False,,,,,HOLDING,2,-0.43781807117216354,96844.75969409029,0.0,False
2020-07-30,130.12,0.18315105761911626,0.24130613657987396,,,HOLD,False,,,,,HOLDING,3,-0.6872781473527684,96844.75969409029,0.0,False
2020-07-31,129.39999,0.18315105761911626,0.2505279791455046,,,HOLD,False,,,,,HOLDING,4,0.23490610921029775,96844.75969409029,0.0,False
2020-08-03,129.3,0.18315105761911626,0.27166693950609083,,,HOLD,False,,,,,HOLDING,7,2.3488021452689187,96844.75969409029,0.0,False
2020-08-04,131.64,0.18315105761911626,0.2715278764683822,,,HOLD,False,,,,,HOLDING,8,2.3348958414980583,96844.75969409029,0.0,False
2020-08-05,129.81,0.18315105761911626,0.29832463267247017,,,HOLD,False,,,,,EXITED,9,5.014571461906852,96104.5873593122,-740.1723347780884,True
2020-08-06,129.35001,0.18315105761911626,0.2611137156705056,0.07796265805138936,,SELL,False,,130.0,43.0,9.825,NONE,0,,96104.5873593122,0.0,True
2020-08-07,129.97,0.18315105761911626,0.262546499877999,,,HOLD,False,,,,,HOLDING,1,0.1432784207493376,96104.5873593122,0.0,False
2020-08-10,131.88,0.18315105761911626,0.2691759535706385,,,HOLD,False,,,,,HOLDING,4,0.8062237900132885,96104.5873593122,0.0,False
