entry_date,exit_date,days_held,strike,entry_iv,exit_iv,iv_change,iv_change_pct,entry_credit,exit_cost,option_pnl,gamma_pnl,theta_pnl,delta_hedge_pnl,hedge_pnl,gross_pnl,entry_tc,exit_tc,hedge_rebalance_costs,hedge_unwind_cost,net_pnl,garch_forecast,num_straddles,iv_entry_percentile,exit_reason
2020-07-02,2020-07-08,6,44.0,0.42712101783355466,0.4801970952889328,0.05307607745537812,5.307607745537812,7642.5,7582.5,60.0,-138.6479332054534,289.434604148312,-130.15512535813025,-132.0283041331731,-72.0283041331731,21.045855,21.045495,2.2409750397116395,0.36518184215426286,-114.48483597532736,0.16614652851982814,15,50.0,Day 6 stop loss (IV 5.3%)
2020-07-09,2020-07-16,7,42.5,0.4313171430242537,0.3988592334165863,-0.03245790960766742,-3.245790960766742,7539.0,6902.0,637.0,-367.1008276009077,411.3720358147346,-0.7108280086718537,-3.649700711388192,633.3502992886118,19.645234,19.641412,3.6159393354936338,2.097717448138413,591.9659358404735,0.16614652851982814,14,50.0,Day 7 take profit (IV -3.2%)
2020-07-17,2020-07-20,3,43.5,0.39892848562819094,0.3608076824354981,-0.03812080319269284,-3.8120803192692843,7912.0,7319.999999999999,592.0000000000009,-112.11946426023695,80.77014635182077,-75.57207988959881,-76.91758648729459,515.0824135127064,22.447472,22.443920000000002,1.7105829525760852,0.7121633177440203,469.47885819496236,0.16614652851982814,16,50.0,Day 3 take profit (IV -3.8%)
2020-07-21,2020-07-28,7,44.5,0.34516667392999784,0.329626155244258,-0.015540518685739857,-1.5540518685739857,7599.000000000001,6451.5,1147.500000000001,-260.7016386289383,440.84925663583397,-192.04523360567964,-195.82153697043384,951.6784630295671,23.845594000000002,23.838709,4.145973436302641,0.9450490668307469,903.0491109627363,0.16614652851982814,17,50.0,Earnings in 3d - forced exit (2020-07-31)
2020-08-03,2020-08-04,1,42.0,0.29597029190302127,0.25949993221423173,-0.03647035968878953,-3.6470359688789533,7779.999999999999,7720.0,59.99999999999909,-288.1978289682275,67.768840329591,180.41014521481563,178.48031719192397,238.48031719192306,28.04668,28.04632,2.477355511989949,3.3969948343610556,178.99032235756198,0.1834876071437915,20,50.0,Day 1 take profit (IV -3.6%)
2020-08-05,2020-08-12,7,45.0,0.28800710639115135,0.338913324265434,0.05090621787428268,5.090621787428268,7910.999999999999,6894.0,1016.9999999999991,-384.3068269009889,370.5837049677959,-446.64740410454675,-450.681164366285,566.3188356337141,25.247466000000003,25.241364000000004,5.671148350935329,0.7890529502125508,515.0409526835016,0.1834876071437915,18,50.0,Day 7 stop loss (IV 5.1%)
2020-08-13,2020-08-18,5,43.0,0.35459398180575186,0.32390975861640875,-0.030684223189343107,-3.068422318934311,7695.0,6716.5,978.5,-60.02199864341951,266.0736076850572,-44.60676637633445,-46.34887167959543,932.1511283204046,26.646169999999998,26.640299,2.10692552245269,0.5047091551965621,878.359950165208,0.16467699092807886,19,50.0,Day 5 take profit (IV -3.1%)
2020-08-19,2020-09-02,14,42.0,0.3320879684688761,0.37743335410768475,0.04534538563880863,4.534538563880863,7885.5,8725.5,-840.0,-1128.3324488909673,974.2723141860477,128.48381411327154,116.7853765490814,-723.2146234509186,29.447313,29.452353000000002,12.059940782746029,3.4862516123158325,-785.6005410632345,0.16467699092807886,21,50.0,Day 14 stop loss (IV 4.5%)
2020-09-03,2020-09-09,6,40.0,0.4136600090836483,0.36816189404731736,-0.045498115036330944,-4.549811503633094,7982.999999999999,7038.0,944.9999999999991,-118.48842966419019,257.77392035040236,259.0521220795052,256.74943272008966,1201.7494327200889,25.247898000000003,25.242228000000004,3.0098829743589683,2.079898010247815,1149.1794087098408,0.17246356381123598,18,50.0,Day 6 take profit (IV -4.5%)
2020-09-10,2020-09-14,4,37.0,0.4072586315729962,0.3519460887570807,-0.055312542815915466,-5.531254281591547,7680.0,6510.0,1170.0,-10.818824303681847,178.2819848580756,-21.89480184112803,-22.84285900359506,1147.157140996405,28.04608,28.03906,1.3165019971251941,0.3619105783395533,1090.7100904180652,0.17246356381123598,20,50.0,Day 4 take profit (IV -5.5%)
2020-09-15,2020-09-18,3,36.5,0.2977495573020141,0.35037588608068243,0.05262632877866835,5.262632877866835,7854.0,8904.000000000002,-1050.0000000000018,-790.443804568634,299.42434687629407,-577.4301262393141,-582.76578606034,-1632.7657860603417,39.24712399999999,39.253423999999995,5.765024548800171,2.1936760995018068,-1713.4600101598435,0.17246356381123598,28,50.0,Day 3 stop loss (IV 5.3%)
2020-09-21,2020-09-22,1,36.5,0.3500093536708117,0.39596769860355335,0.045958344932741646,4.595834493274165,7822.499999999999,7780.5,41.99999999999909,-162.14889589861085,98.41564011471998,-39.68489867910409,-41.18399055889074,0.8160094411083492,29.446935000000003,29.446683000000004,1.858169046159792,0.9796839041543921,-59.057292463046046,0.17246356381123598,21,50.0,Day 1 stop loss (IV 4.6%)
2020-09-23,2020-09-24,1,34.5,0.46912846565849453,0.4309598124601773,-0.03816865319831725,-3.8168653198317246,7770.0,6900.0,870.0,-0.7577276304565781,102.13156782190889,-4.798264492969534,-5.201033105338851,864.7989668946611,28.04662,28.0414,0.7667362394920871,0.38823612711798416,808.3227107675432,0.17246356381123598,20,50.0,Day 1 take profit (IV -3.8%)
2020-09-25,2020-09-28,3,34.5,0.4925537998890206,0.43472638600400587,-0.05782741388501472,-5.7827413885014725,7735.0,6842.500000000001,892.4999999999991,-52.14199517955951,83.98829769558165,88.06545285721823,87.44512671663944,979.9451267166385,23.846410000000002,23.841055,1.106997257946613,1.4501117753443797,930.8075499412942,0.14880337014679398,17,50.0,Day 3 take profit (IV -5.8%)
2020-09-29,2020-10-23,24,34.5,0.45616865840010506,0.47072553891437074,0.01455688051426568,1.455688051426568,7920.0,4920.0,3000.0,-2021.4914653269761,2368.3181441695315,-2086.6643095745553,-2104.8206473086216,895.1793526913784,28.04752,28.02952,18.512803080848737,0.3984263413860484,838.7038863499923,0.14880337014679398,20,50.0,Mandatory exit (DTE <= 14): DTE 14
2020-11-25,2020-11-27,2,41.0,0.42504710716403343,0.3913541927234111,-0.033692914440622335,-3.3692914440622337,7812.0,7677.000000000001,134.9999999999991,-45.61984373398716,90.23008570583089,-26.650590723471836,-27.55512936202071,107.44487063797838,25.246872000000003,25.246062000000002,1.263393903298383,0.512569965653286,56.439366672325086,0.12401464410693246,18,82.92682926829268,Day 2 take profit (IV -3.4%)
2020-12-16,2020-12-23,7,43.5,0.43036388522363384,0.3996611291123096,-0.030702756111324225,-3.0702756111324225,7856.0,7112.0,744.0,-215.4730894448477,441.64329028068084,-48.867824764126766,-52.25153237065811,691.7484676293419,22.447136,22.442672,3.8222652813362683,1.2439526604639577,645.614706968878,0.12863156188252958,16,88.88888888888889,Day 7 take profit (IV -3.1%)
2020-12-24,2021-01-07,14,41.5,0.4319416359930065,0.38109120389808976,-0.05085043209491674,-5.085043209491674,7952.0,7456.0,496.0,-692.5212261069682,739.8935276191244,925.4998878029651,920.2707927837507,1416.2707927837507,22.447712000000003,22.444736000000002,5.599278616249311,4.649889934028619,1366.7284548497223,0.18277382917715584,16,90.9090909090909,Day 14 take profit (IV -5.1%)
2021-02-26,2021-03-02,4,54.5,0.4315399893447303,0.39777153956942835,-0.03376844977530197,-3.3768449775301965,7700.0,7637.0,63.0,-294.6709371340623,213.28910448942474,-4.83493210122225,-6.239609483207843,56.76039051679216,19.646199999999997,19.645822,1.764964758551256,1.6304546625563137,15.83791385423585,0.22662937010465561,14,92.13483146067416,Day 4 take profit (IV -3.4%)
2021-07-19,2021-07-23,4,55.0,0.3116041711139151,0.28040818489046676,-0.031195986223448324,-3.1195986223448324,7627.5,6885.0,742.5,-438.89397467899136,301.8020670936572,79.62221273606724,76.71093494873067,819.2109349487307,21.045765,21.04131,3.3409155755072817,2.809909934105687,774.3139500146251,0.214120204876958,15,41.08108108108108,Day 4 take profit (IV -3.1%)
2021-08-18,2021-09-01,14,54.0,0.3060456643975329,0.2695089237412285,-0.03653674065630441,-3.653674065630441,7947.0,5850.0,2097.0,-1424.7286478157232,939.429866818592,-1521.9153808704878,-1533.0079161543401,563.9920838456599,25.247682,25.235100000000003,11.641385843065688,0.35958395731339476,513.1497178883465,0.21855237784455667,18,42.857142857142854,Day 14 take profit (IV -3.7%)
2021-09-14,2021-09-28,14,55.0,0.31299287637605516,0.36464278119474897,0.051649904818693804,5.16499048186938,7888.000000000001,10608.0,-2719.999999999999,-1839.9858500191838,933.6403368504245,1212.5341684159157,1202.4084630392413,-1517.5915369607578,23.847328,23.863648,10.55640189857515,5.658480746778885,-1570.9609937075368,0.18990389624009485,17,48.81516587677725,Day 14 stop loss (IV 5.2%)
2021-09-29,2021-10-13,14,60.0,0.31610179023629215,0.28536179237784104,-0.030739997858451107,-3.0739997858451105,7956.0,6001.0,1955.0,-1196.4706134060516,1208.55056142955,-989.086507350621,-997.7216946343306,957.2783053656694,23.847736,23.836006,8.98958689031948,2.005122388741215,907.5894409769281,0.20479924781232406,17,49.056603773584904,Day 14 take profit (IV -3.1%)
2021-11-19,2021-11-26,7,61.0,0.28436046915581975,0.3469210888084481,0.06256061965262832,6.256061965262832,7624.499999999999,8568.000000000002,-943.5000000000027,-902.1702703294761,420.27627950988096,-906.7203307051682,-911.810404595847,-1855.3104045958498,23.845747,23.851408,5.512143833063783,0.5898543056060698,-1903.5974139014559,0.18363702348578448,17,34.72803347280335,Day 7 stop loss (IV 6.3%)
2021-11-29,2021-12-03,4,62.0,0.3172179689235732,0.3596007011757523,0.042382732252179145,4.238273225217915,7792.0,8544.0,-752.0,-522.5634800133764,451.709892806725,-411.4501388927341,-415.0466845601182,-1167.0466845601181,22.446752000000004,22.451264000000002,4.019739347277554,0.561493437106853,-1212.5061939972252,0.1701209259602847,16,55.00000000000001,Day 4 stop loss (IV 4.2%)
