ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 09:00:00+00:00,34,2,6094,233.77,234.24,233.5,233.5,7943,MSFT
2021-03-12 10:00:00+00:00,34,2,6094,233.49,233.81,232.79,232.9,10174,MSFT
2021-03-12 11:00:00+00:00,34,2,6094,232.79,233.7,232.59,233.03,2537,MSFT
2021-03-12 12:00:00+00:00,34,2,6094,233.45,234.63,233.13,234.39,10723,MSFT
2021-03-12 13:00:00+00:00,34,2,6094,234.33,234.87,233.71,234.0,13383,MSFT
2021-03-12 14:00:00+00:00,34,2,6094,234.0,235.46,233.33,235.4,1024957,MSFT
2021-03-12 15:00:00+00:00,34,2,6094,235.39,235.45,233.37,233.65,1151651,MSFT
2021-03-12 16:00:00+00:00,34,2,6094,233.64,234.95,233.23,234.6,698452,MSFT
2021-03-12 17:00:00+00:00,34,2,6094,234.62,235.53,234.4,234.71,428002,MSFT
2021-03-12 18:00:00+00:00,34,2,6094,234.76,235.35,234.32,235.01,395616,MSFT
2021-03-12 19:00:00+00:00,34,2,6094,235.03,235.54,234.22,235.17,531512,MSFT
2021-03-12 20:00:00+00:00,34,2,6094,235.18,235.82,234.89,235.8,984513,MSFT
2021-03-12 21:00:00+00:00,34,2,6094,235.75,235.9,235.35,235.67,2219464,MSFT
2021-03-12 22:00:00+00:00,34,2,6094,235.54,235.67,235.53,235.67,154,MSFT
2021-03-15 08:00:00+00:00,34,2,6104,235.73,236.12,234.95,236.0,482,MSFT
2021-03-15 09:00:00+00:00,34,2,6104,235.88,236.55,235.88,236.47,387,MSFT
2021-03-15 10:00:00+00:00,34,2,6104,236.36,236.55,235.65,236.25,1515,MSFT
2021-03-15 11:00:00+00:00,34,2,6104,236.38,236.38,235.32,235.32,6402,MSFT
2021-03-15 12:00:00+00:00,34,2,6104,235.33,236.0,235.1,235.94,3120,MSFT
2021-03-15 13:00:00+00:00,34,2,6104,235.78,236.61,233.42,234.04,1119205,MSFT
2021-03-15 14:00:00+00:00,34,2,6104,234.02,234.13,232.26,233.25,1167041,MSFT
2021-03-15 15:00:00+00:00,34,2,6104,233.23,233.4,231.82,232.79,852467,MSFT
2021-03-15 16:00:00+00:00,34,2,6104,232.76,233.11,232.49,232.86,514284,MSFT
2021-03-15 17:00:00+00:00,34,2,6104,232.89,233.15,232.56,233.02,429451,MSFT
2021-03-15 18:00:00+00:00,34,2,6104,233.03,233.65,232.93,233.49,483005,MSFT
2021-03-15 19:00:00+00:00,34,2,6104,233.49,235.03,233.19,234.81,1402886,MSFT
2021-03-15 20:00:00+00:00,34,2,6104,234.81,235.24,234.79,235.0,3252424,MSFT
2021-03-15 21:00:00+00:00,34,2,6104,234.96,234.96,234.83,234.86,616,MSFT
2021-03-15 22:00:00+00:00,34,2,6104,234.85,234.9,234.53,234.73,1105,MSFT
2021-03-15 23:00:00+00:00,34,2,6104,234.7,234.7,234.43,234.51,401,MSFT
2021-03-16 08:00:00+00:00,34,2,6107,235.1,235.3,234.91,234.99,387,MSFT
2021-03-16 09:00:00+00:00,34,2,6107,235.15,235.41,235.01,235.29,945,MSFT
2021-03-16 10:00:00+00:00,34,2,6107,235.4,235.64,235.27,235.51,266,MSFT
2021-03-16 11:00:00+00:00,34,2,6107,235.51,235.83,235.25,235.66,1552,MSFT
2021-03-16 12:00:00+00:00,34,2,6107,235.78,235.8,235.28,235.7,3737,MSFT
2021-03-16 13:00:00+00:00,34,2,6107,235.7,238.31,235.55,238.29,1212512,MSFT
2021-03-16 14:00:00+00:00,34,2,6107,238.28,239.85,238.15,239.56,1212131,MSFT
2021-03-16 15:00:00+00:00,34,2,6107,239.57,240.05,239.28,239.57,827575,MSFT
2021-03-16 16:00:00+00:00,34,2,6107,239.59,239.84,238.57,238.89,758255,MSFT
2021-03-16 17:00:00+00:00,34,2,6107,238.89,239.48,237.72,238.02,609465,MSFT
2021-03-16 18:00:00+00:00,34,2,6107,238.01,238.19,236.94,237.325,839405,MSFT
2021-03-16 19:00:00+00:00,34,2,6107,237.32,239.23,237.03,237.69,1177020,MSFT
2021-03-16 20:00:00+00:00,34,2,6107,237.71,238.44,237.53,237.77,2862924,MSFT
2021-03-16 21:00:00+00:00,34,2,6107,237.8,238.1,237.75,237.75,411,MSFT
2021-03-16 22:00:00+00:00,34,2,6107,237.84,238.2,237.81,238.0,1750,MSFT
2021-03-16 23:00:00+00:00,34,2,6107,238.06,238.34,237.15,237.5,1008,MSFT
2021-03-17 08:00:00+00:00,34,2,6117,237.47,237.94,237.23,237.44,969,MSFT
2021-03-17 09:00:00+00:00,34,2,6117,237.45,237.45,237.2,237.29,158,MSFT
2021-03-17 10:00:00+00:00,34,2,6117,237.43,237.43,236.99,237.1,286,MSFT
2021-03-17 11:00:00+00:00,34,2,6117,237.11,237.44,235.6,236.1,25127,MSFT
2021-03-17 12:00:00+00:00,34,2,6117,235.9,236.4,235.53,236.29,10327,MSFT
2021-03-17 13:00:00+00:00,34,2,6117,236.0,236.49,234.17,236.18,1039376,MSFT
2021-03-17 14:00:00+00:00,34,2,6117,236.18,236.59,234.82,235.0,921128,MSFT
2021-03-17 15:00:00+00:00,34,2,6117,234.98,235.03,233.74,233.83,735932,MSFT
2021-03-17 16:00:00+00:00,34,2,6117,233.8,234.6,233.23,233.79,620114,MSFT
2021-03-17 17:00:00+00:00,34,2,6117,233.76,234.77,233.63,234.47,602756,MSFT
2021-03-17 18:00:00+00:00,34,2,6117,234.48,238.14,234.48,237.94,1432236,MSFT
2021-03-17 19:00:00+00:00,34,2,6117,237.93,238.54,236.44,237.19,1426910,MSFT
2021-03-17 20:00:00+00:00,34,2,6117,237.04,237.39,236.6,236.67,4132891,MSFT
2021-03-17 21:00:00+00:00,34,2,6117,236.69,236.96,236.66,236.96,961,MSFT
2021-03-17 22:00:00+00:00,34,2,6117,236.96,237.72,236.85,236.85,1406,MSFT
2021-03-17 23:00:00+00:00,34,2,6117,236.89,237.49,236.84,237.49,1163,MSFT
2021-03-18 08:00:00+00:00,34,2,6138,235.58,235.58,234.11,234.39,5338,MSFT
2021-03-18 09:00:00+00:00,34,2,6138,234.49,235.37,234.2,234.84,9123,MSFT
2021-03-18 10:00:00+00:00,34,2,6138,234.98,235.94,234.82,235.19,3389,MSFT
2021-03-18 11:00:00+00:00,34,2,6138,235.2,235.69,233.14,233.75,25983,MSFT
2021-03-18 12:00:00+00:00,34,2,6138,233.55,234.0,233.25,233.55,19795,MSFT
2021-03-18 13:00:00+00:00,34,2,6138,233.64,234.18,232.01,233.25,1328605,MSFT
2021-03-18 14:00:00+00:00,34,2,6138,233.21,233.36,232.21,232.99,1209934,MSFT
2021-03-18 15:00:00+00:00,34,2,6138,232.98,233.29,232.03,232.39,869007,MSFT
2021-03-18 16:00:00+00:00,34,2,6138,232.39,233.4,231.8,231.91,833477,MSFT
2021-03-18 17:00:00+00:00,34,2,6138,231.91,233.59,231.81,233.53,574337,MSFT
2021-03-18 18:00:00+00:00,34,2,6138,233.55,233.59,230.74,231.09,1116265,MSFT
2021-03-18 19:00:00+00:00,34,2,6138,231.09,231.46,230.33,230.72,2432580,MSFT
2021-03-18 20:00:00+00:00,34,2,6138,230.72,231.36,230.72,231.01,4410236,MSFT
2021-03-18 21:00:00+00:00,34,2,6138,231.02,231.08,230.7,231.05,1423,MSFT
2021-03-18 22:00:00+00:00,34,2,6138,231.06,231.2,231.0,231.0,1516,MSFT
2021-03-18 23:00:00+00:00,34,2,6138,230.9,231.05,230.77,231.05,858,MSFT
2021-03-19 08:00:00+00:00,34,2,6152,232.0,232.79,232.0,232.32,782,MSFT
2021-03-19 09:00:00+00:00,34,2,6152,232.32,232.82,232.2,232.74,2548,MSFT
2021-03-19 10:00:00+00:00,34,2,6152,232.42,232.42,231.85,231.98,4977,MSFT
2021-03-19 11:00:00+00:00,34,2,6152,231.98,232.0,231.07,231.88,29251,MSFT
2021-03-19 12:00:00+00:00,34,2,6152,231.85,232.3,231.37,231.75,22265,MSFT
