ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 09:00:00+00:00,34,2,7002,34.72,34.74,34.58,34.65,2959,PFE
2021-03-12 10:00:00+00:00,34,2,7002,34.65,34.65,34.55,34.63,4231,PFE
2021-03-12 11:00:00+00:00,34,2,7002,34.63,34.63,34.57,34.61,579,PFE
2021-03-12 12:00:00+00:00,34,2,7002,34.66,34.73,34.64,34.69,1724,PFE
2021-03-12 13:00:00+00:00,34,2,7002,34.69,34.72,34.67,34.7,1887,PFE
2021-03-12 14:00:00+00:00,34,2,7002,34.69,34.83,34.5,34.72,213445,PFE
2021-03-12 15:00:00+00:00,34,2,7002,34.72,34.97,34.715,34.965,206658,PFE
2021-03-12 16:00:00+00:00,34,2,7002,34.96,34.97,34.81,34.855,159491,PFE
2021-03-12 17:00:00+00:00,34,2,7002,34.85,34.885,34.79,34.8,85813,PFE
2021-03-12 18:00:00+00:00,34,2,7002,34.8,34.895,34.78,34.875,68435,PFE
2021-03-12 19:00:00+00:00,34,2,7002,34.87,34.935,34.855,34.865,112163,PFE
2021-03-12 20:00:00+00:00,34,2,7002,34.865,34.945,34.835,34.94,279341,PFE
2021-03-12 21:00:00+00:00,34,2,7002,34.94,34.94,34.88,34.88,1085,PFE
2021-03-12 22:00:00+00:00,34,2,7002,34.88,34.88,34.86,34.88,869,PFE
2021-03-15 08:00:00+00:00,34,2,7016,34.91,34.92,34.88,34.88,434,PFE
2021-03-15 09:00:00+00:00,34,2,7016,34.93,35.0,34.89,34.93,554,PFE
2021-03-15 10:00:00+00:00,34,2,7016,34.92,34.95,34.89,34.95,411,PFE
2021-03-15 11:00:00+00:00,34,2,7016,34.97,35.04,34.91,35.0,1439,PFE
2021-03-15 12:00:00+00:00,34,2,7016,35.0,35.03,35.0,35.01,3767,PFE
2021-03-15 13:00:00+00:00,34,2,7016,35.01,35.26,35.0,35.19,269954,PFE
2021-03-15 14:00:00+00:00,34,2,7016,35.19,35.19,34.97,35.11,263351,PFE
2021-03-15 15:00:00+00:00,34,2,7016,35.11,35.18,35.035,35.115,161940,PFE
2021-03-15 16:00:00+00:00,34,2,7016,35.11,35.22,35.105,35.205,145899,PFE
2021-03-15 17:00:00+00:00,34,2,7016,35.21,35.425,35.21,35.375,295168,PFE
2021-03-15 18:00:00+00:00,34,2,7016,35.375,35.385,35.32,35.335,130355,PFE
2021-03-15 19:00:00+00:00,34,2,7016,35.34,35.425,35.265,35.405,393200,PFE
2021-03-15 20:00:00+00:00,34,2,7016,35.4,35.45,35.38,35.4,6330,PFE
2021-03-15 21:00:00+00:00,34,2,7016,35.4,35.44,35.4,35.41,201,PFE
2021-03-15 22:00:00+00:00,34,2,7016,35.43,35.43,35.43,35.43,20,PFE
2021-03-15 23:00:00+00:00,34,2,7016,35.43,35.43,35.43,35.43,1,PFE
2021-03-16 08:00:00+00:00,34,2,7019,35.37,35.41,35.31,35.35,433,PFE
2021-03-16 09:00:00+00:00,34,2,7019,35.41,35.45,35.38,35.45,708,PFE
2021-03-16 10:00:00+00:00,34,2,7019,35.45,35.5,35.42,35.5,301,PFE
2021-03-16 11:00:00+00:00,34,2,7019,35.49,35.56,35.4,35.55,6114,PFE
2021-03-16 12:00:00+00:00,34,2,7019,35.53,35.55,35.5,35.5,7127,PFE
2021-03-16 13:00:00+00:00,34,2,7019,35.51,35.69,35.32,35.655,298991,PFE
2021-03-16 14:00:00+00:00,34,2,7019,35.65,35.825,35.55,35.595,338908,PFE
2021-03-16 15:00:00+00:00,34,2,7019,35.6,35.63,35.515,35.625,199668,PFE
2021-03-16 16:00:00+00:00,34,2,7019,35.625,35.67,35.575,35.65,129963,PFE
2021-03-16 17:00:00+00:00,34,2,7019,35.655,35.73,35.65,35.72,148434,PFE
2021-03-16 18:00:00+00:00,34,2,7019,35.715,35.76,35.665,35.74,267126,PFE
2021-03-16 19:00:00+00:00,34,2,7019,35.73,35.855,35.685,35.825,619515,PFE
2021-03-16 20:00:00+00:00,34,2,7019,35.83,35.84,35.76,35.81,5240,PFE
2021-03-16 21:00:00+00:00,34,2,7019,35.82,35.86,35.82,35.86,1011,PFE
2021-03-16 22:00:00+00:00,34,2,7019,35.84,35.84,35.84,35.84,500,PFE
2021-03-16 23:00:00+00:00,34,2,7019,35.84,35.84,35.82,35.83,428,PFE
2021-03-17 08:00:00+00:00,34,2,7031,35.83,35.85,35.73,35.77,2393,PFE
2021-03-17 09:00:00+00:00,34,2,7031,35.8,35.8,35.72,35.72,716,PFE
2021-03-17 10:00:00+00:00,34,2,7031,35.78,35.8,35.75,35.8,186,PFE
2021-03-17 11:00:00+00:00,34,2,7031,35.79,35.82,35.72,35.72,11641,PFE
2021-03-17 12:00:00+00:00,34,2,7031,35.71,35.89,35.67,35.68,19675,PFE
2021-03-17 13:00:00+00:00,34,2,7031,35.67,35.83,35.12,35.255,650055,PFE
2021-03-17 14:00:00+00:00,34,2,7031,35.25,35.46,35.135,35.46,480386,PFE
2021-03-17 15:00:00+00:00,34,2,7031,35.465,35.755,35.455,35.71,643182,PFE
2021-03-17 16:00:00+00:00,34,2,7031,35.7,35.845,35.695,35.83,266690,PFE
2021-03-17 17:00:00+00:00,34,2,7031,35.825,35.835,35.69,35.725,184395,PFE
2021-03-17 18:00:00+00:00,34,2,7031,35.73,35.85,35.66,35.745,313319,PFE
2021-03-17 19:00:00+00:00,34,2,7031,35.745,35.955,35.725,35.78,1055931,PFE
2021-03-17 20:00:00+00:00,34,2,7031,35.78,35.84,35.73,35.79,8342,PFE
2021-03-17 21:00:00+00:00,34,2,7031,35.78,35.78,35.76,35.78,231,PFE
2021-03-17 22:00:00+00:00,34,2,7031,35.79,35.79,35.79,35.79,56,PFE
