ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 09:00:00+00:00,34,2,9960,61.1,61.15,60.7,61.15,4837,XOM
2021-03-12 10:00:00+00:00,34,2,9960,61.15,61.21,60.8,61.18,1267,XOM
2021-03-12 11:00:00+00:00,34,2,9960,61.17,61.18,60.84,61.0,2312,XOM
2021-03-12 12:00:00+00:00,34,2,9960,61.1,61.52,61.1,61.51,3846,XOM
2021-03-12 13:00:00+00:00,34,2,9960,61.43,61.67,61.26,61.51,9621,XOM
2021-03-12 14:00:00+00:00,34,2,9960,61.55,62.37,61.45,61.94,354409,XOM
2021-03-12 15:00:00+00:00,34,2,9960,61.95,62.26,61.81,62.04,350899,XOM
2021-03-12 16:00:00+00:00,34,2,9960,62.03,62.33,61.915,62.17,306200,XOM
2021-03-12 17:00:00+00:00,34,2,9960,62.165,62.25,61.96,62.13,215368,XOM
2021-03-12 18:00:00+00:00,34,2,9960,62.14,62.2,61.55,61.58,193253,XOM
2021-03-12 19:00:00+00:00,34,2,9960,61.57,61.94,61.525,61.9,225323,XOM
2021-03-12 20:00:00+00:00,34,2,9960,61.89,62.015,61.815,61.95,399131,XOM
2021-03-12 21:00:00+00:00,34,2,9960,61.94,62.0,61.94,61.99,1075,XOM
2021-03-12 22:00:00+00:00,34,2,9960,61.91,62.0,61.9,62.0,1409,XOM
2021-03-12 23:00:00+00:00,34,2,9960,62.04,62.05,62.0,62.05,613,XOM
2021-03-15 08:00:00+00:00,34,2,9974,62.13,62.31,62.13,62.21,190,XOM
2021-03-15 09:00:00+00:00,34,2,9974,62.31,62.49,62.29,62.3,2124,XOM
2021-03-15 10:00:00+00:00,34,2,9974,62.37,62.4,61.99,61.99,2399,XOM
2021-03-15 11:00:00+00:00,34,2,9974,62.05,62.3,62.05,62.15,4341,XOM
2021-03-15 12:00:00+00:00,34,2,9974,62.2,62.23,61.93,62.0,15048,XOM
2021-03-15 13:00:00+00:00,34,2,9974,61.99,62.23,60.285,60.59,458017,XOM
2021-03-15 14:00:00+00:00,34,2,9974,60.57,60.68,59.95,60.26,569376,XOM
2021-03-15 15:00:00+00:00,34,2,9974,60.25,60.44,59.87,59.98,515510,XOM
2021-03-15 16:00:00+00:00,34,2,9974,59.98,60.285,59.89,60.12,333188,XOM
